hours,dist,yday,time,temp,elev,natdiv2500,natdiv1000,natdiv500,natdiv1000new,natdiv500new,sqrt.popd2500,sqrt.popd1000,sqrt.popd500,popd1000new,popd500new,poc500,poc1000new,poc500new,income.med500diff,income.med1000diffnew,income.med500diffnew,yrbuilt2500,yrbuilt1000,yrbuilt500,yrbuilt1000new,yrbuilt500new,poc2500,poc1000,income.med1000diff,income.med2500diff,link,link.se,pred,lcl,ucl,var,value.poc,value.income
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.011641804,0,0,-1.346542212,0,0,0,0,0,0,0,-0.011641804,-0.011641804,-1.346542212,-1.346542212,3.335662321,0.059074261,28.09698628,24.96597254,31.62066435,minority-income,0.4,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.040576514,0,0,-1.346542212,0,0,0,0,0,0,0,0.040576514,0.040576514,-1.346542212,-1.346542212,3.33784514,0.058793094,28.1583839,25.03460211,31.67194671,minority-income,0.425,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.092794832,0,0,-1.346542212,0,0,0,0,0,0,0,0.092794832,0.092794832,-1.346542212,-1.346542212,3.340063565,0.058519922,28.22092052,25.10391279,31.72494907,minority-income,0.45,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.14501315,0,0,-1.346542212,0,0,0,0,0,0,0,0.14501315,0.14501315,-1.346542212,-1.346542212,3.342317597,0.058253447,28.28460311,25.17397451,31.77959732,minority-income,0.475,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.197231468,0,0,-1.346542212,0,0,0,0,0,0,0,0.197231468,0.197231468,-1.346542212,-1.346542212,3.344607235,0.057992815,28.34943881,25.24483561,31.83584529,minority-income,0.5,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.249449786,0,0,-1.346542212,0,0,0,0,0,0,0,0.249449786,0.249449786,-1.346542212,-1.346542212,3.346932479,0.057737628,28.41543488,25.31652194,31.89367565,minority-income,0.525,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.301668104,0,0,-1.346542212,0,0,0,0,0,0,0,0.301668104,0.301668104,-1.346542212,-1.346542212,3.34929333,0.057487951,28.48259873,25.38903603,31.95310091,minority-income,0.55,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.353886422,0,0,-1.346542212,0,0,0,0,0,0,0,0.353886422,0.353886422,-1.346542212,-1.346542212,3.351689787,0.057244326,28.55093791,25.46235624,32.01416427,minority-income,0.575,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.40610474,0,0,-1.346542212,0,0,0,0,0,0,0,0.40610474,0.40610474,-1.346542212,-1.346542212,3.35412185,0.05700778,28.6204601,25.53643587,32.0769406,minority-income,0.6,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.458323058,0,0,-1.346542212,0,0,0,0,0,0,0,0.458323058,0.458323058,-1.346542212,-1.346542212,3.35658952,0.056779836,28.69117316,25.61120234,32.14153737,minority-income,0.625,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.510541376,0,0,-1.346542212,0,0,0,0,0,0,0,0.510541376,0.510541376,-1.346542212,-1.346542212,3.359092796,0.056562519,28.76308505,25.68655638,32.20809553,minority-income,0.65,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.562759694,0,0,-1.346542212,0,0,0,0,0,0,0,0.562759694,0.562759694,-1.346542212,-1.346542212,3.361631678,0.056358364,28.83620392,25.7623713,32.27679032,minority-income,0.675,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.614978012,0,0,-1.346542212,0,0,0,0,0,0,0,0.614978012,0.614978012,-1.346542212,-1.346542212,3.364206167,0.056170418,28.91053804,25.83849232,32.34783205,minority-income,0.7,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.66719633,0,0,-1.346542212,0,0,0,0,0,0,0,0.66719633,0.66719633,-1.346542212,-1.346542212,3.366816262,0.056002246,28.98609586,25.91473613,32.42146664,minority-income,0.725,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.719414648,0,0,-1.346542212,0,0,0,0,0,0,0,0.719414648,0.719414648,-1.346542212,-1.346542212,3.369461963,0.055857923,29.06288595,25.99089063,32.49797598,minority-income,0.75,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.771632966,0,0,-1.346542212,0,0,0,0,0,0,0,0.771632966,0.771632966,-1.346542212,-1.346542212,3.372143271,0.05574203,29.14091705,26.06671495,32.57767801,minority-income,0.775,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.823851284,0,0,-1.346542212,0,0,0,0,0,0,0,0.823851284,0.823851284,-1.346542212,-1.346542212,3.374860185,0.055659633,29.22019806,26.14193993,32.66092636,minority-income,0.8,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.876069602,0,0,-1.346542212,0,0,0,0,0,0,0,0.876069602,0.876069602,-1.346542212,-1.346542212,3.377612705,0.055616267,29.30073804,26.21626897,32.74810962,minority-income,0.825,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.92828792,0,0,-1.346542212,0,0,0,0,0,0,0,0.92828792,0.92828792,-1.346542212,-1.346542212,3.380400831,0.055617897,29.3825462,26.28937953,32.83964996,minority-income,0.85,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.980506238,0,0,-1.346542212,0,0,0,0,0,0,0,0.980506238,0.980506238,-1.346542212,-1.346542212,3.383224564,0.055670878,29.46563192,26.36092523,32.93600118,minority-income,0.875,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,1.032724556,0,0,-1.346542212,0,0,0,0,0,0,0,1.032724556,1.032724556,-1.346542212,-1.346542212,3.386083904,0.055781898,29.55000472,26.43053864,33.03764599,minority-income,0.9,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,1.084942874,0,0,-1.346542212,0,0,0,0,0,0,0,1.084942874,1.084942874,-1.346542212,-1.346542212,3.388978849,0.055957911,29.63567432,26.49783488,33.14509266,minority-income,0.925,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,1.137161192,0,0,-1.346542212,0,0,0,0,0,0,0,1.137161192,1.137161192,-1.346542212,-1.346542212,3.391909401,0.05620606,29.72265058,26.5624159,33.25887077,minority-income,0.95,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,1.18937951,0,0,-1.346542212,0,0,0,0,0,0,0,1.18937951,1.18937951,-1.346542212,-1.346542212,3.394875559,0.056533585,29.81094355,26.6238755,33.3795264,minority-income,0.975,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,1.241597829,0,0,-1.346542212,0,0,0,0,0,0,0,1.241597829,1.241597829,-1.346542212,-1.346542212,3.397877324,0.056947726,29.90056342,26.68180498,33.50761665,minority-income,1,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.847134892,0,0,-1.252328199,0,0,0,0,0,0,0,-0.847134892,-0.847134892,-1.252328199,-1.252328199,3.319256491,0.062087102,27.63979249,24.41218241,31.29413488,minority-income,0,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.794916574,0,0,-1.252328199,0,0,0,0,0,0,0,-0.794916574,-0.794916574,-1.252328199,-1.252328199,3.320869609,0.0611562,27.68441471,24.49716042,31.28635339,minority-income,0.025,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.742698256,0,0,-1.252328199,0,0,0,0,0,0,0,-0.742698256,-0.742698256,-1.252328199,-1.252328199,3.322518333,0.060303774,27.73009632,24.57945141,31.28459742,minority-income,0.05,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.690479938,0,0,-1.252328199,0,0,0,0,0,0,0,-0.690479938,-0.690479938,-1.252328199,-1.252328199,3.324202664,0.05952449,27.77684233,24.65928944,31.28853212,minority-income,0.075,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.63826162,0,0,-1.252328199,0,0,0,0,0,0,0,-0.63826162,-0.63826162,-1.252328199,-1.252328199,3.325922601,0.058812909,27.82465785,24.73691799,31.2978191,minority-income,0.1,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.586043302,0,0,-1.252328199,0,0,0,0,0,0,0,-0.586043302,-0.586043302,-1.252328199,-1.252328199,3.327678144,0.058163541,27.87354814,24.81258691,31.31211949,minority-income,0.125,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.533824984,0,0,-1.252328199,0,0,0,0,0,0,0,-0.533824984,-0.533824984,-1.252328199,-1.252328199,3.329469293,0.057570913,27.92351857,24.88654927,31.33109701,minority-income,0.15,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.481606666,0,0,-1.252328199,0,0,0,0,0,0,0,-0.481606666,-0.481606666,-1.252328199,-1.252328199,3.331296049,0.057029617,27.97457464,24.95905833,31.35442114,minority-income,0.175,-55
